sport,casa de apostes,equipo1,equipo2,cuota1,cuotaX,cuota2,lliga
Futbol,Interwetten,Maribor,Sevilla FC,15.0,7.5,1.17,Champions League
Futbol,Interwetten,Liverpool,Spartak Moscow,1.8,3.6,4.5,Champions League
Futbol,Interwetten,FC Porto,Monaco,4.1,3.5,1.9,Champions League
Futbol,Interwetten,Shakhtar Donetsk,Manchester City,12.5,6.5,1.22,Champions League
Futbol,Interwetten,Roma,Qarabag,1.6,4.0,5.5,Champions League
Futbol,Interwetten,Manchester United,CSKA Moscow,1.6,4.0,5.5,Champions League
Futbol,Interwetten,Chelsea,Atletico Madrid,3.5,3.4,2.1,Champions League
Futbol,Interwetten,Bayern Munich,Paris SG,3.6,3.6,2.0,Champions League
Futbol,Interwetten,Feyenoord,Napoli,11.0,6.0,1.25,Champions League
Futbol,Interwetten,Real Madrid,Dortmund,2.0,3.7,3.5,Champions League
Futbol,Interwetten,Tottenham Hotspur,APOEL,1.45,4.4,7.2,Champions League
Futbol,Interwetten,RB Leipzig,Besiktas,2.7,3.3,2.6,Champions League
Futbol,Interwetten,Benfica Lissabon,FC Basel,2.5,3.4,2.8,Champions League
Futbol,Interwetten,Celtic Glasgow,Anderlecht,3.7,3.5,2.0,Champions League
Futbol,Interwetten,Olympiakos Piraeus,Juventus,15.0,6.5,1.2,Champions League
Futbol,Interwetten,Barcelona,Sporting Lissabon,1.45,4.4,7.2,Champions League
Futbol,Interwetten,River Plate,Jorge Wilstermann,2.4,3.0,3.0,Copa Libertadores
Futbol,Interwetten,Hamburger SV,Hannover 96,3.35,3.3,2.2,Germany
Futbol,Interwetten,Mainz 05,Bayern Munich,18.0,7.5,1.15,Germany
Futbol,Interwetten,Augsburg,Frankfurt,4.3,3.5,1.85,Germany
Futbol,Interwetten,Hertha BSC,Hoffenheim,4.8,3.6,1.75,Germany
Futbol,Interwetten,FC Cologne,Dortmund,9.0,6.5,1.27,Germany
Futbol,Interwetten,Wolfsburg,VfB Stuttgart,2.95,3.3,2.4,Germany
Futbol,Interwetten,Schalke 04,Werder Bremen,2.6,3.3,2.7,Germany
Futbol,Interwetten,Monchengladbach,RB Leipzig,5.0,3.7,1.7,Germany
Futbol,Interwetten,Freiburg,Leverkusen,6.2,4.0,1.55,Germany
Futbol,Interwetten,Braunschweig,Union Berlin,3.6,3.3,2.0,Germany
Futbol,Interwetten,FC Nrnberg,Duisburg,2.75,3.3,2.4,Germany
